"PhonologicalForm","WrittenForm","SynCatCode","Freq","StressPattern"
"'osve","اسوه","N1","15","WS"
"'osyAn","عصيان","N1","15","WS"
"'osyAnAmiz","عصيان‌‌آميز","A0","1","WWWS"
"'osyAngar","عصيانگر","A0","5","WWS"
"'osyAngari","عصيانگري","N1","1","WWWS"
"'osyAni","عصياني","N1","1","WWS"
"'osyAnkonande","عصيان‌‌كننده","A0","1","WWWWS"
"'osyAnzade","عصيان‌‌زده","A0","4","WWWS"
"'otAge","اتاقه","N1","24","WWS"
"'otAq","اتاق","N1","660","WS"
"'otAq","اطاق","N1","190","WS"
"'otAqak","اتاقك","N1","15","WWS"
"'otAqak","اطاقك","N1","3","WWS"
"'otAqdAr","اتاق‌دار","A0","1","WWS"
"'otAqdAr","اطاق‌دار","A0","2","WWS"
"'otAqefarmAn","اتاق‌فرمان","N1","1","WWWWS"
"'otAqi","اتاقي","A0","1","WWS"
"'otAq'otAq","اتاق‌اتاق","A0","1","WWWS"
"'otAqsarA","اتاقسرا","N1","15","WWWS"
"'otAqsarA","اطاقسرا","N1","3","WWWS"
"'otAqsAz","اتاق‌ساز","A0","1","WWS"
"'otAqsAzi","اتاق‌سازي","N1","1","WWWS"
"'otAqsAzi","اطاقسازي","N1","1","WWWS"
"'otAqxAb","اتاق‌خواب","N1","1","WWS"
"'otAvA","اتاوا","N2","31","WWS"
"'otAvA","اوتاوا","N2","35","WWS"
"'oto","اتــو","N3","1","WS"
"'oto","اوتو","N3","4","WS"
"'otobiyogerAfi","اتوبيوگرافي","N1","1","WWWWWWS"
"'otobus","اتوبوس","N1","555","WWS"
"'otobusrAni","اتوبوسراني","N1","240","WWWWS"
"'otobussAzi","اتوبوس‌سازي","N1","1","WWWWS"
"'otokad","اتوكد","N1","2","WWS"
"'otokAr","اتوكار","N1","1","WWS"
"'otokelAv","اتوكلاو","N1","1","WWWS"
"'otokerAsi","اتوكراسي","N1","1","WWWWS"
"'otolit","اتوليت","N1","1","WWS"
"'otoliz","اتوليز","N1","1","WWS"
"'otomAsiyon","اتوماسيون","N1","1","WWWWS"
"'otomAt","اتومات","A0","1","WWS"
"'otomekAnik","اتومكانيك","A0","2","WWWWS"
"'otomobil","اتومبيل","N1","435","WWWS"
"'otomobildAr","اتومبيل‌دار","A0","1","WWWWS"
"'otomobilrAni","اتومبيلراني","N1","15","WWWWWS"
"'otomobilrow","اتومبيل‌رو","A0","1","WWWWS"
"'otomobilsavAr","اتومبيل‌سوار","N1","1","WWWWWS"
"'otomobilsavAri","اتومبيل‌سواري","N1","2","WWWWWWS"
"'otomobilsAzi","اتومبيل‌سازي","N1","15","WWWWWS"
"'otomobilSu'i","اتومبيل‌شوئي","N1","1","WWWWWS"
"'otopism","اتوپيسم","N1","1","WWS"
"'otopist","اتوپيست","A0","1","WWS"
"'otopiyA","اتوپيا","N1","15","WWWS"
"'otopiyA","اوتوپيا","N1","1","WWWS"
"'otopiyA'i","اوتوپيائي","A0","5","WWWWS"
"'otopsi","اتپسي","N1","1","WWS"
"'otorite","اتوريته","N1","1","WWWS"
"'otoriteryAnism","اتوريتريانيسم","N1","1","WWWWWS"
"'otoSAhin","اتوشاهين","N1","8","WWWS"
"'otoservis","اتوسرويس","N1","1","WWWS"
"'otoskop","اتوسكپ","N1","1","WWS"
"'ototerof","اتوتروف","A0","1","WWWS"
"'ototomi","اتوتومي","N1","1","WWWS"
"'otozom","اتوزوم","N1","1","WWS"
"'otrAq","اتراق","N1","15","WS"
"'otrAq","اطراق","N1","2","WS"
"'otrAqgAh","اطراقگاه","N1","1","WWS"
"'otrAr","اترار","N2","3","WS"
"'otrikul","اتريكول","N1","1","WWS"
"'otriS","اتريش","N2","525","WS"
"'otriS","اطريش","N2","4","WS"
"'otriSi","اتريشي","A0","135","WWS"
"'otubAn","اتوبان","N1","45","WWS"
"'otufat","عطوفت","N1","30","WWS"
"'otumAtik","اتوماتيك","A0","30","WWWS"
"'overkot","اوركت","N1","5","WWS"
"'overt","اورت","N1","1","WS"
"'overtur","اورتور","N1","1","WWS"
"'overtur","اوورتور","N1","1","WWS"
"'oveys","اويس","N3","1","WS"
"'oveysi","اويسي","N4","15","WWS"
"'ovul","اوول","N1","2","WS"
"'owbAS","اوباش","N1","45","WS"
"'owbASgari","اوباشگري","N1","1","WWWS"
"'owd","عود","N1","1","S"
"'owdat","عودت","N1","30","WS"
"'owdkonanade","عود‌‌كننده","A0","5","WWWWS"
"'owhad","اوحد","A0","1","WS"
"'owhadi","اوحدي","N4","180","WWS"
"'owhAm","اوهام","N1","17","WS"
"'owhAmparasti","اوهام‌پرستي","N1","1","WWWWS"
"'owheddin","اوحدالدين","N3","3","WWS"
"'owj","اوج","N1","375","S"
"'owjgiri","اوج‌گيري","N1","39","WWS"
"'owlA","اولي","A0","83","WS"
"'owlAd","اولاد","N1","60","WS"
"'owlaviyyat","اولويت","N1","315","WWWS"
"'owlaviyyatbaxSi","اولويت‌بخشي","N1","4","WWWWWS"
"'owlaviyyatdAr","اولويت‌دار","A0","15","WWWWS"
"'owlaviyyatdehi","اولويت‌دهي","N1","2","WWWWWS"
"'owlaviyyatgozAri","اولويت‌گذاري","N1","1","WWWWWWS"
"'owlaviyyatgozini","اولويت‌گزيني","N1","1","WWWWWWS"
"'owlaviyyati","اولويتي","A0","1","WWWWS"
"'owlaviyyatsanji","اولويت‌سنجي","N1","1","WWWWWS"
"'owliyA","اوليا","N1","240","WWS"
"'owliyA'","اولياء","N1","60","WWS"
"'owliyA'i","اوليائي","A0","1","WWWS"
"'owliyA'ollAh","اولياء‌الله","Exp","6","WWWWS"
"'owliyAyi","اوليايي","A0","2","WWWS"
"'owlol'amr","اولي‌الامر","A0","3","WWS"
"'own","عون","N1","15","S"
"'owqAf","اوقاف","N1","90","WS"
"'owqAt","اوقات","N1","510","WS"
"'owqAttalxi","اوقات‌تلخي","N1","1","WWWS"
"'owrAm","اورام","N1","1","WS"
"'owrang","اورنگ","N1","5","WS"
"'owrangAbAdi","اورنگ‌آبادي","N4","15","WWWWS"
"'owrAq","اوراق","N1","375","WS"
"'owrAqCi","اوراقچي","N1","1","WWS"
"'owrAqeqarze","اوراق‌قرضه","N1","1","WWWWS"
"'owrAqi","اوراقي","A0","1","WWS"
"'owrAqSode","اوراق‌شده","A0","1","WWWS"
"'owrat","عورت","N1","2","WS"
"'owsAf","اوصاف","N1","60","WS"
"'owsaj","عوسج","N1","4","WS"
"'owsat","اوسط","A0","4","WS"
"'owsiyA","اوصياء","N1","3","WWS"
"'owsiyA'i","اوصيائي","A0","1","WWWS"
"'owt","اوت","N1","15","S"
"'owtAn","اوطان","N1","1","WS"
"'owtAr","اوتار","N1","1","WS"
"'owyAr","اويار","N1","2","WS"
"'owyquri","اويغوري","A0","2","WWS"
"'owzA'","اوضاع","N1","840","WS"
"'owzAn","اوزان","N1","15","WS"
"'owZan","اوژن","N1","5","WS"
"'owzA'o'ahvAl","اوضاع‌واحوال","N1","1","WWWWS"
"'ox","اخ","N1","1","S"
"oxdmehvar","خودمحور","A0","16","WWS"
"'oxeS","اخش","N1","1","WS"
"'oxovvat","اخوت","N1","15","WWS"
"'oxrA","اخرا","N1","1","WS"
"'oxrA","اخري","N1","1","WS"
"'oxrA'i","اخرائي","A0","1","WWS"
"'oxravi","اخروي","A0","30","WWS"
"'oxt","اخت","A0","1","S"
"'oxtApus","اختاپوس","N1","15","WWS"
"'oxtApusi","اختاپوسي","A0","1","WWWS"
"'oymAq","اويماق","N1","1","WS"
"'oymAq","ايماق","N1","1","WS"
"'oyqur","اويغور","N1","4","WS"
"'oyquri","اويغوري","N1","1","WWS"
"'oyub","عيوب","N1","30","WS"
"'oyun","عيون","N1","2","WS"
"'ozAkA","اوزاكا","N2","7","WWS"
"'ozAlid","ازاليد","N1","1","WWS"
"'ozAlid","اوزاليد","N1","1","WWS"
"'ozbak","ازبك","N1","90","WS"
"'ozbakAn","ازبكان","N1","15","WWS"
"'ozbakestAn","ازبكستان","N2","195","WWWS"
"'ozbakestAni","ازبكستاني","A0","30","WWWWS"
"'ozbaki","ازبكي","A0","5","WWS"
"'ozgol","ازگل","N2","15","WS"
"'ozine","اذينه","N2","1","WWS"
"'oziris","ازيريس","N3","7","WWS"
"'ozjAn","اوزجان","N3","4","WS"
"'ozlat","عزلت","N1","9","WS"
"'ozlatgozini","عزلت‌‌گزيني","N1","1","WWWWS"
"'ozlatjuyi","عزلت‌‌جويي","N1","1","WWWS"
"'ozlatneSin","عزلت‌‌نشين","A0","1","WWWS"
"'ozlattalabi","عزلت‌‌طلبي","N1","1","WWWWS"
"'ozmA","عظما","A0","15","WS"
"'ozmA","عظماء","A0","1","WS"
"'ozon","ازن","N1","315","WS"
"'ozon","اوزن","N1","1","WS"
"'ozonborun","ازون‌برون","N1","1","WWWS"
"'ozonkore","ازنكره","N1","1","WWWS"
"'ozr","عذر","N1","105","S"
"'ozrA","عذرا","N3","9","WS"
"'ozrtarASi","عذرتراشي","N1","1","WWWS"
"'ozrxAhAne","عذرخواهانه","Ad","1","WWWS"
"'ozrxAhi","عذرخواهي","N1","120","WWS"
"'ozv","عضو","N1","3150","S"
"'ozvgiri","عضو‌‌گيري","N1","6","WWS"
"'ozvi","عضوي","A0","14","WS"
"'ozviyyat","عضويت","N1","615","WWS"
"'ozvpaziri","عضوپذيري","N1","1","WWWS"
"pA","پا","N1","1035","S"
"pA","پا","N9","1","S"
"pA","پا","V1","5000","S"
"pA'afzAr","پاافزار","N1","1","WWS"
"pA'andAz","پاانداز","N1","1","WWS"
"pAband","پابند","A0","15","WS"
"pAbaranjan","پابرنجن","N1","1","WWWS"
"pAbarjA","پابرجا","A0","75","WWS"
"pAbarjAyi","پابرجايي","N1","1","WWWS"
"pAbarsarAn","پابرسران","N1","1","WWWS"
"pAbast","پابست","A0","1","WS"
"pAbemAh","پابه‌ماه","A0","1","WWS"
"pAbepA","پابه‌پا","N1","30","WWS"
"pAberehne","پابرهنه","A0","30","WWWS"
"pAberehnegi","پابرهنگي","N1","1","WWWWS"
"pAberekAb","پا‌به‌ركاب","Ad","1","WWWS"
"pAbesengozASte","پا‌به‌سن‌گذاشته","A0","1","WWWWWS"
"pAbozi","پابزي","N1","1","WWS"
"pAbus","پابوس","N1","1","WS"
"pAbusi","پابوسي","N1","1","WWS"
"pACambari","پاچنبري","N1","1","WWWS"
"pACe","پاچه","N1","8","WS"
"pACele","پاچله","N1","1","WWS"
"pACevarmAlide","پاچه‌ورماليده","A0","1","WWWWWS"
"pACexizak","پاچه‌خيزك","N1","1","WWWS"
"pACin","پاچين","N1","1","WS"
"padAfand","پدافند","N1","75","WWS"
"padAfandi","پدافندي","A0","15","WWWS"
"padAfandkonande","پدافند‌كننده","A0","2","WWWWWS"
"pAdAr","پادار","A0","2","WS"
"pAdard","پا‌درد","N1","1","WS"
"pAdarhavA","پادرهوا","A0","30","WWWS"
"pAdari","پادري","N1","1","WWS"
"pAdarmiyAni","پادرمياني","N1","7","WWWWS"
"pAdAS","پاداش","N1","360","WS"
"pAdASdahande","پاداش‌دهنده","A0","8","WWWWS"
"pAdASdahandegi","پاداش‌دهندگي","N1","3","WWWWWS"
"pAdASgerefte","پاداش‌گرفته","A0","2","WWWWS"
"pAdegAn","پادگان","N1","75","WWS"
"pAderaxti","پادرختي","N1","1","WWWS"
"pAdeSAh","پادشاه","N1","645","WWS"
"pAdeSAhi","پادشاهي","N1","225","WWWS"
"pAdeSAyi","پادشايي","N1","1","WWWS"
"pAdgen","پادگن","N1","1","WS"
"padid","پديد","N1","465","WS"
"padidAmade","پديد‌آمده","A0","7","WWWWS"
"padidAr","پديدار","N1","60","WWS"
"padidArkonande","پديداركننده","A0","1","WWWWWS"
"padidArSenAsAne","پديدارشناسانه","Ad","4","WWWWWWS"
"padidArSenAsi","پديدارشناسي","N1","11","WWWWWS"
"padidArSenAxti","پديدارشناختي","N1","2","WWWWWS"
"padidAvarande","پديد‌آورنده","A0","29","WWWWWS"
"padide","پديده","N1","420","WWS"
"padideSenAsi","پديده‌شناسي","N1","1","WWWWWS"
"pAdmAddeh","پادماده","A0","1","WWS"
"pAdnutron","پادنوترون","N1","1","WWS"
"pAdo","پادو","N1","1","WS"
"pAdoyi","پادويي","N1","1","WWS"
"pAdpA","پادپا","N1","1","WS"
"pAdporoton","پادپروتون","N1","1","WWWS"
"pAdsA'atgard","پادساعت‌گرد","A0","1","WWWS"
"pAdtAb","پادتاب","N1","1","WS"
"pAdtan","پادتن","N1","15","WS"
"pAduspAn","پادوسپان","N1","2","WWS"
"pAdzA","پادزا","N1","1","WS"
"pAdzahr","پادزهر","N1","8","WS"
"pAdzarre","پادذره","N1","1","WWS"
"pAdziv","پادزيو","N1","1","WS"
"pAfang","پافنگ","N1","1","WS"
"pAfeSAri","پافشاري","N1","75","WWWS"
"pAgard","پاگرد","N1","2","WS"
"pAgir","پاگير","N1","1","WS"
"pAgodA","پاگودا","N1","1","WWS"
"pAgon","پاگون","N1","1","WS"
"pAgoSA","پاگشا","N1","1","WWS"
"pahlavAn","پهلوان","N1","1","WWS"
"pahlavAni","پهلواني","A0","45","WWWS"
"pahlavAnpambe","پهلوان‌پنبه","N1","1","WWWWS"
"pahlavi","پهلوي","N1","360","WWS"
"pahlevAnbAzi","پهلوان‌بازي","N1","1","WWWWS"
"pahlevAndust","پهلوان‌دوست","A0","1","WWWS"
"pahlevAniyAn","پهلوانيان","N4","2","WWWWS"
"pahlevAnparvar","پهلوان‌پرور","A0","1","WWWWS"
"pahlevAnzAde","پهلوان‌زاده","A0","4","WWWWS"
"pahlu","پهلو","N1","30","WS"
"pahlubandi","پهلوبندي","N1","1","WWWS"
"pahludasti","پهلو‌دستي","A0","1","WWWS"
"pahlufang","پهلوفنگ","N1","1","WWS"
"pahlugAh","پهلوگاه","N1","1","WWS"
"pahlugerefte","پهلوگرفته","A0","1","WWWWS"
"pahlugiri","پهلوگيري","N1","5","WWWS"
"pahluyi","پهلويي","A0","1","WWS"
"pahn","پهن","A0","105","S"
"pahnA","پهنا","N1","75","WS"
"pahnAb","پهناب","N1","1","WS"
"pahnak","پهنك","N1","1","WS"
"pahnAnegar","پهنانگر","A0","1","WWWS"
"pahnAvar","پهناور","A0","90","WWS"
"pahnAvari","پهناوري","N1","2","WWWS"
"pahnbarg","پهن‌برگ","A0","5","WS"
"pahne","پهنه","N1","60","WS"
"pahnebandi","پهنه‌بندي","N1","10","WWWS"
"pahneCiyAn","پهنه‌چيان","N1","1","WWWS"
"pahni","پهني","N1","15","WS"
"pahnkermAn","پهن‌كرمان","N1","1","WWS"
"pahnmAhiyAn","پهن‌ماهيان","N1","1","WWWS"
"pahnpeykar","پهن‌پيكر","A0","15","WWS"
"pahnqaltAnak","پهن‌غلتانك","N1","1","WWWS"
"pahnraft","پهنرفت","N1","1","WS"
"pahnSode","پهن‌شده","A0","1","WWS"
"pA'i","پائي","A0","15","WS"
"pA'id","پائيد","V2","5000","WS"
"pA'in","پائين","A0","750","WS"
"pA'inAvarande","پائين‌آورنده","A0","15","WWWWWS"
"pA'ini","پائيني","A0","15","WWS"
"pA'inoftAdegi","پائين‌افتادگي","N1","1","WWWWWS"
"pA'intane","پائين‌تنه","N1","1","WWWS"
"pA'iz","پائيز","N1","180","WS"
"pA'izAn","پائيزان","Ad","1","WWS"
"pA'ize","پائيزه","A0","60","WWS"
"pA'izi","پائيزي","A0","15","WWS"
"pAjiro","پاجيرو","N1","1","WWS"
"pAjuS","پاجوش","N1","1","WS"
"pAk","پاك","A0","390","S"
"pAkandiS","پاك‌انديش","A0","2","WWS"
"pAkAr","پاكار","N1","1","WS"
"pakar","پكر","A0","1","WS"
"pakari","پكري","N1","1","WWS"
"pAkat","پاكت","N1","90","WS"
"pAkati","پاكتي","A0","15","WWS"
"pAkatnAme","پاكت‌نامه","N1","1","WWWS"
"pAkbAxte","پاكباخته","A0","15","WWS"
"pAkbAxtegi","پاك‌باختگي","N1","2","WWWS"
"pAkbAzAne","پاكبازانه","Ad","1","WWWS"
"pAkbAzi","پاكبازي","N1","1","WWS"
"pAkbin","پاك‌بين","A0","1","WS"
"pAkdAman","پاك‌دامن","A0","16","WWS"
"pAkdAmani","پاكدامني","N1","15","WWWS"
"pAkdaSt","پاك‌دشت","N2","21","WS"
"pAkdel","پاكدل","A0","15","WS"
"pAkdis","پاكديس","N1","4","WS"
"pAkduzi","پاك‌دوزي","N1","1","WWS"
"pAkestAn","پاكستان","N2","3510","WWS"
"pAkestAni","پاكستاني","A0","105","WWWS"
"pAkestAniyol'asl","پاكستاني‌الاصل","A0","1","WWWWWS"
"pAkgowhar","پاك‌گوهر","A0","1","WWS"
"pAki","پاكي","N1","135","WS"
"pAkize","پاكيزه","A0","45","WWS"
"pAkizegi","پاكيزگي","N1","15","WWWS"
"pAkizemaneS","پاكيزه‌منش","A0","1","WWWWS"
"pAkizeru","پاكيزه‌رو","A0","1","WWWS"
"pAkizesereSt","پاكيزه‌سرشت","A0","1","WWWWS"
"pAkizexu","پاكيزه‌خو","A0","1","WWWS"
"pAkkAr","پاك‌كار","A0","1","WS"
"pAkkon","پاك‌كن","N1","1","WS"
"pAkkonande","پاك‌كننده","A0","18","WWWS"
"pAkkonandegi","پاك‌كنندگي","N1","2","WWWWS"
"pAkmehr","پاك‌مهر","A0","1","WS"
"pAknahAd","پاك‌نهاد","A0","8","WWS"
"pAknAm","پاكنام","N1","30","WS"
"pAkne","پاكنه","N1","1","WS"
"pAknevis","پاكنويس","N1","2","WWS"
"pAkneZAd","پاكنژاد","N4","30","WWS"
"pAkniyyat","پاك‌نيت","A0","3","WWS"
"pAkravAn","پاكروان","N4","1","WWS"
"pAksAn","پاكسان","N1","10","WS"
"pAksAz","پاكساز","A0","1","WS"
"pAksAzi","پاكسازي","N1","120","WWS"
"pAksereSt","پاك‌سرشت","A0","15","WWS"
"pAksirat","پاك‌سيرت","A0","1","WWS"
"pAktinat","پاك‌طينت","A0","1","WWS"
"pAkubi","پاكوبي","N1","2","WWS"
"pAkutAh","پاكوتاه","A0","2","WWS"
"pAkvaS","پاك‌وش","A0","3","WS"
"pAkvojdAn","پاك‌وجدان","A0","1","WWS"
"pAkyazdAn","پاك‌يزدان","A0","30","WWS"
"pAkzAd","پاكزاد","A0","3","WS"
"pAl","پال","N1","9","S"
"pAlA","پالا","V1","5000","WS"
"pAlAdiyom","پالاديم","N1","1","WWWS"
"pAlA'id","پالائيد","V2","5000","WWS"
"palam","پلم","N1","1","WS"
"pAlAn","پالان","N1","1","WS"
"pAlAnd","پالاند","V2","5000","WS"
"pAlAnduz","پالان‌دوز","N1","1","WWS"
"palang","پلنگ","N1","15","WS"
"palangdarre","پلنگ‌دره","N2","1","WWWS"
"palangi","پلنگي","A0","15","WWS"
"pAlAnid","پالانيد","V2","5000","WWS"
"pAlAr","پالار","N1","1","WS"
"palAs","پلاس","N1","9","WS"
"palas","پلس","N1","1","WS"
"palaSt","پلشت","A0","3","WS"
"palaStbar","پلشت‌بر","N1","1","WWS"
"palaStbari","پلشت‌بري","N1","1","WWWS"
"palaSti","پلشتي","N1","15","WWS"
"palat","پلت","N1","1","WS"
"pAlAyande","پالاينده","A0","3","WWWS"
"pAlAye","پالايه","N1","1","WWS"
"pAlAyeS","پالايش","N1","45","WWS"
"pAlAyeSgAh","پالايشگاه","N1","60","WWWS"
"pAlAyeSgAhi","پالايشگاهي","A0","7","WWWWS"
"pAlAyeSi","پالايشي","N1","2","WWWS"
"pAlAyeSSode","پالايش‌شده","A0","1","WWWWS"
"pAlAyeSyAfte","پالايش‌يافته","A0","1","WWWWS"
"pAlAyid","پالاييد","V2","5000","WWS"
"pAle'ogerAfi","پالئوگرافي","N1","1","WWWWWS"
"pAle'olitik","پالئوليتيك","N1","1","WWWWS"
"pAle'osen","پالئوسن","N1","1","WWWS"
"pAle'oZen","پالئوژن","N1","1","WWWS"
"pAle'ozo'ik","پالئوزوئيك","N1","1","WWWWS"
"pAlet","پالت","N1","1","WS"
"pAli","پالي","N1","1","WS"
"palid","پليد","A0","30","WS"
"palidi","پليدي","N1","90","WWS"
"pAlizi","پاليزي","N2","2","WWS"
"pAlmer","پالمر","N4","5","WS"
"pAlmitikasid","پالميتيك‌اسيد","N1","1","WWWWS"
"pAls","پالس","N1","6","S"
"pAltow","پالتو","N1","30","WS"
"pAlu'ak","پالوئك","N1","1","WWS"
"pAlud","پالود","V2","5000","WS"
"pAlude","پالوده","A0","2","WWS"
"palxun","پلخون","N1","1","WS"
"pAmAl","پامال","N1","3","WS"
"pAmambari","پامنبر‌ي","N1","1","WWWS"
"pAmambarixAn","پامنبري‌خوان","N1","1","WWWWS"
"pambekAr","پنبه‌كار","N1","1","WWS"
"pAmCAl","پامچال","N1","3","WS"
"pAmenAr","پامنار","N2","3","WWS"
"pAmir","پامير","N2","1","WS"
"pAn","پان","N1","10","S"
"panAbAd","پناباد","N1","1","WWS"
"pAnAfriqA","پان‌آفريقا","N1","2","WWWS"
"pAnAfriqA'i","پان‌آفريقائي","N1","1","WWWWS"
"panAh","پناه","N1","330","WS"
"panAh","پناه","V1","5000","WS"
"panAhande","پناهنده","N1","75","WWWS"
"panAhandegi","پناهندگي","N1","105","WWWWS"
"panAhandepazir","پناهنده‌پذير","A0","1","WWWWWS"
"panAhAvarande","پناه‌آورنده","A0","1","WWWWWS"
"panAhfadA'i","پناه‌فدائي","N4","1","WWWWS"
"panAhgAh","پناهگاه","N1","60","WWS"
"panAhgar","پناهگر","A0","2","WWS"
"panAhgiri","پناهگيري","N1","1","WWWS"
"panAhi","پناهي","N4","30","WWS"
"panAhid","پناهيد","V2","5000","WWS"
"panAhiyAn","پناهيان","N4","1","WWWS"
"panAhju","پناه‌جو","N1","90","WWS"
"pAnAmA","پاناما","N2","90","WWS"
"pAnAmAyi","پانامايي","A0","6","WWWS"
"pAnAmerikan","پان‌آمريكن","N1","14","WWWWS"
"pAn'arabism","پان‌عربيسم","N1","2","WWWS"
"pAnAsonik","پاناسونيك","N1","1","WWWS"
"panbe","پنبه","N1","330","WS"
"panbedAne","پنبه‌دانه","N1","3","WWWS"
"panbe'i","پنبه‌اي","A0","6","WWS"
"panbekAri","پنبه‌كاري","N1","1","WWWS"
"panbepAkkoni","پنبه‌پاك‌كني","N1","15","WWWWS"
"panberisi","پنبه‌ريسي","N1","2","WWWS"
"panbezan","پنبه‌زن","N1","2","WWS"
"panbezAr","پنبه‌زار","N1","1","WWS"
"pAnC","پانچ","N1","2","S"
"panCar","پنچر","A0","15","WS"
"panCargir","پنچرگير","N1","1","WWS"
"panCargiri","پنچرگيري","N1","1","WWWS"
"panCari","پنچري","N1","6","WWS"
"pAnd","پاند","N1","1","S"
"pand","پند","N1","60","S"
"pAndA","پاندا","N1","15","WS"
"pandAmiz","پندآميز","A0","1","WWS"
"pandAmuz","پندآموز","A0","4","WWS"
"panddahande","پنددهنده","A0","1","WWWS"
"pandgu","پندگو","A0","1","WS"
"pandiyyAt","پنديات","N1","1","WWS"
"pandnAme","پندنامه","N1","45","WWS"
"pandnAmenevisi","پندنامه‌نويسي","N1","15","WWWWWS"
"pandniyuS","پندنيوش","A0","1","WWS"
"pandpazir","پندپذير","A0","1","WWS"
"pandpaziri","پندپذيري","N1","1","WWWS"
"pandSenow","پندشنو","A0","1","WWS"
"pAndul","پاندول","N1","1","WS"
"pAnel","پانل","N1","1","WS"
"pAnemA","پانما","A0","1","WWS"
"pAn'eslAmism","پان‌اسلاميسم","N1","1","WWWS"
"pAn'eslAvism","پان‌اسلاويسم","N1","1","WWWS"
"pAneveSt","پانوشت","N1","5","WWS"
"pAneveSte","پا‌نوشته","N1","2","WWWS"
"pAnevis","پانويس","N1","15","WWS"
"pangAn","پنگان","N1","1","WS"
"pango'an","پنگوئن","N1","13","WWS"
"pango'ansAnAn","پنگوئن‌سانان","N1","1","WWWWS"
"pAngolan","پانگولن","N1","1","WWS"
"panir","پنير","N1","135","WS"
"panirak","پنيرك","N1","1","WWS"
"pAn'irAnism","پان‌ايرانيسم","N1","1","WWWS"
"pAn'irAnist","پان‌ايرانيست","A0","2","WWWS"
"panirmAye","پنيرمايه","N1","1","WWWS"
"panirsAzi","پنيرسازي","N1","2","WWWS"
"pAniz","پانيذ","N3","1","WS"
"panj","5","No","1","S"
"panj","پنج","Nu","12060","S"
"panjAb","پنجاب","N2","15","WS"
"panjAbi","پنجابي","N4","4","WWS"
"panjAh","50","No","1","WS"
"panjAh","پنجاه","Nu","1","WS"
"panjAhhezArkiluvAti","پنجاه‌هزاركيلوواتي","A0","2","WWWWWWWS"
"panjAhkilumetri","پنجاه‌كيلومتري","A0","1","WWWWWS"
"panjAhmetri","پنجاه‌متري","A0","1","WWWS"
"panjAhnafari","پنجاه‌نفري","A0","1","WWWWS"
"panjAhsAle","پنجاه‌ساله","A0","14","WWWS"
"panjAhsAlegi","پنجاه‌سالگي","N1","8","WWWWS"
"panj'alizAde","پنجعلي‌زاده","N4","1","WWWWS"
"panjbar","پنج‌بر","N1","1","WS"
"panjbo'di","پنج‌بعدي","A0","1","WWS"
"panjdande","پنج‌دنده","A0","6","WWS"
"panjdaqiqe'i","پنج‌دقيقه‌اي","A0","3","WWWWS"
"panjdar","پنج‌در","A0","6","WS"
"panjdaraje'i","پنج‌درجه‌اي","A0","1","WWWWS"
"panjdari","پنج‌دري","N1","1","WWS"
"panjdarsadi","پنج‌درصدي","A0","2","WWWS"
"panje","پنجه","N1","60","WS"
"panjeboks","پنجه‌بكس","N1","1","WWS"
"panjedArAn","پنجه‌داران","N1","1","WWWS"
"panjegorgiyAn","پنجه‌گرگيان","N1","1","WWWWS"
"panje'i","پنجه‌اي","A0","1","WWS"
"panjere","پنجره","N1","60","WWS"
"panjerebandi","پنجره‌بندي","N1","1","WWWWS"
"panjere'i","پنجره‌اي","A0","1","WWWS"
"panjerow","پنجه‌رو","A0","1","WWS"
"panjgAh","پنج‌گاه","N1","1","WS"
"panjgAne","پنج‌گانه","A0","34","WWS"
"panjganj","پنج‌گنج","N1","1","WS"
"panjgerami","پنج‌گرمي","A0","1","WWWS"
"panjguSe","پنج‌گوشه","A0","1","WWS"
"panjharfi","پنج‌حرفي","A0","1","WWS"
"panjhezAri","پنج‌هزاري","N1","1","WWWS"
"panjhezArnafari","پنج‌هزار‌نفري","A0","1","WWWWWS"
"panjhezArriyAli","پنج‌هزار‌ريالي","A0","1","WWWWWS"
"panjhezArsAle","پنج‌هزار‌ساله","A0","1","WWWWS"
"panjhezArtoni","پنج‌هزار‌تني","A0","1","WWWWS"
"panjjeldi","پنج‌جلدي","A0","1","WWS"
"panjkilumetri","پنج‌كيلومتري","A0","11","WWWWS"
"panjmAhe","پنج‌ماهه","A0","8","WWS"
"panjmAhegi","پنج‌ماهگي","N1","1","WWWS"
"panjmetri","پنج‌متري","A0","3","WWS"
"panjmilyuni","پنج‌ميليوني","A0","1","WWWS"
"panjnafare","پنج‌نفره","A0","22","WWWS"
"panjnafari","پنج‌نفري","A0","3","WWWS"
"panjqolu","پنج‌قلو","A0","9","WWS"
"panjraqami","پنج‌رقمي","A0","2","WWWS"
"panjriyAli","پنج‌ريالي","N1","2","WWWS"
"panjruze","پنج‌روزه","A0","21","WWS"
"panjsA'ate","پنج‌ساعته","A0","1","WWWS"
"panjsafhe'i","پنج‌صفحه‌اي","A0","2","WWWS"
"panjsAle","پنجساله","A0","223","WWS"
"panjsAlegi","پنج‌سالگي","N1","13","WWWS"
"panjSambe","پنجشنبه","N1","50","WWS"
"panjSambeSab","پنج‌شنبه‌شب","N1","1","WWWS"
"panjsAntimetri","پنج‌سانتيمتري","A0","1","WWWWS"
"panjsetAre","پنج‌ستاره","A0","2","WWWS"
"panjsutuni","پنج‌ستوني","A0","1","WWWS"
